Name(Seed 0),Org,,,Org-1,,,2prob,,,2prob-1,,
h80x6320d,113.843417,-1,-1,713.697998,-1,-1,89.079885,-1,-1,776.272549,-1,-1
rail01,1800,Inf,Inf,1800,Inf,Inf,1786.5637593229999,Inf,Inf,1786.5637593229999,Inf,Inf
50v-10,1800,3254.8064416001184,3348.479995504021,1800,3254.7894911816834,3348.479995504021,1800,3252.2621213407892,3317.379990890621,1800,3252.2151492966923,3317.379990890621
neos-4532248-waihi,1800,Inf,Inf,1800,Inf,Inf,1775.211068,Inf,Inf,1775.211068,Inf,Inf
highschool1-aigio,1800,Inf,Inf,1800,Inf,Inf,1772.717746,Inf,Inf,1772.717746,Inf,Inf
hypothyroid-k1,27.617016,-1,-1,27.335619,-1,-1,27.259101,-1,-1,27.627106,-1,-1
rail02,1800,Inf,Inf,1800,Inf,Inf,1781.799319,Inf,Inf,1781.799319,Inf,Inf
academictimetablesmall,1800,Inf,Inf,1800,Inf,Inf,1799.000392,Inf,Inf,1799.000392,Inf,Inf
air05,40.057208,-1,-1,40.109317,-1,-1,47.36476,-1,-1,47.529034,-1,-1
neos-4647030-tutaki,1800,27265.241378698687,27268.481500000096,1800,27265.241327136162,27268.481499999998,1800,27265.192815482642,27268.481499999998,1800,27265.241378698913,27265.706000000097
irish-electricity,1800,Inf,Inf,1800,Inf,Inf,1796.64998,Inf,Inf,1796.64998,Inf,Inf
irp,20.615108,-1,-1,19.793839,-1,-1,25.389916,-1,-1,25.229774,-1,-1
neos-4722843-widden,527.468139,-1,-1,523.806536,-1,-1,736.843888,-1,-1,738.287933,-1,-1
istanbul-no-cutoff,173.314211,-1,-1,174.704618,-1,-1,73.457902,-1,-1,73.531959,-1,-1
ran14x18-disj-8,1800,3683.4681403823706,3712,1800,3683.9488440204814,3712,1800,3682.553761793135,3712,1800,3681.2888268663173,3712
assign1-5-8,1800,199.01539826474686,211.99999999999997,1800,199.01657336863883,211.99999999999997,1800,199.8839901177332,211.99999999999997,1800,199.84961216305473,211.99999999999997
neos-4738912-atrato,632.910915,-1,-1,642.602317,-1,-1,549.036332,-1,-1,554.086831,-1,-1
k1mushroom,1800,Inf,Inf,1800,Inf,Inf,1786.17058,Inf,Inf,1786.17058,Inf,Inf
rd-rplusc-21,1800,100,171924.36978415886,1800,100,171924.36978415886,1800,100,170659.16562700112,1800,100,170659.16562700112
atlanta-ip,1800,84.14205579076507,91.01005543350006,1800,84.14205579076507,91.01005543350006,1800,82.91833673417666,93.01013811,1800,82.91833673417666,93.01013811
neos-4763324-toguru,1800,1194.822052586347,6970.541930522156,1800,1194.822052586347,6970.541930522156,1800,1192.2373006302903,6970.541930522156,1800,1192.289680662509,6970.541930522156
lectsched-5-obj,1800,15,45,1800,15,45,1800,15,45,1800,15,45
reblock115,1800,-3.69E+07,-3.68E+07,1800,-3.69E+07,-3.68E+07,1800,-3.69E+07,-3.68E+07,1800,-3.69E+07,-3.68E+07
rmatr100-p10,202.5579,-1,-1,201.832756,-1,-1,202.942818,-1,-1,202.014355,-1,-1
b1c1s1,1800,21162.59005456311,25351.430000000004,1800,21162.59005456311,25351.430000000004,1800,21269.056579581265,25083.769999999982,1800,21268.02664746377,25083.769999999997
neos-5049753-cuanza,1800,Inf,Inf,1800,Inf,Inf,1794.879725,Inf,Inf,1794.879725,Inf,Inf
leo1,1800,4.004504149376067e8,4.0431290656e8,1800,4.004670966798272e8,4.0431290656e8,1800,4.007205608528595e8,4.0512746656e8,1800,4.007127099730058e8,4.0512746656e8
rmatr200-p5,1800,3289.649437044016,4521,1800,3289.649437044016,4521,1800,3289.649437044016,4521,1800,3289.649437044016,4521
bab2,1800,Inf,Inf,1800,Inf,Inf,1770.422692,Inf,Inf,1770.422692,Inf,Inf
neos-5052403-cygnet,1800,179.51077434572642,300,1800,179.51077434572642,300,1800,179.51077434572642,300,1800,179.51077434572642,300
rocI-4-11,142.630643,-1,-1,141.426921,-1,-1,177.998359,-1,-1,178.299923,-1,-1
leo2,1800,3.9413785644815004e8,4.236461431999999e8,1800,3.9413785644815004e8,4.236461431999999e8,1800,3.949446350469614e8,4.2224841872e8,1800,3.9484259636365867e8,4.2224841872e8
bab6,1800,Inf,Inf,1800,Inf,Inf,1784.074583,Inf,Inf,1784.074583,Inf,Inf
binkar10_1,54.407798,-1,-1,54.442943,-1,-1,41.497925,-1,-1,41.14637,-1,-1
neos-5104907-jarama,1800,Inf,Inf,1800,Inf,Inf,1786.339319,Inf,Inf,1786.339319,Inf,Inf
rocII-5-11,1800,-11.79015501,-5.674556556,1800,-11.79011113,-5.674556556,1800,-11.7871909,-6.661558765,1800,-11.78690809,-6.661558765
lotsize,1800,1.4702154182822208e6,1.483221e6,1800,1.470734939579352e6,1.485865e6,1800,1.4681210351036084e6,1.4955550000000002e6,1800,1.4699096611298488e6,1.4868410000000007e6
blp-ar98,1800,6175.1879153862255,6211.714857600003,1800,6175.700891969269,6211.714857600003,1800,6170.242996244023,6259.126459200002,1800,6170.373578303435,6259.126459200002
rococoB10-011000,1800,16456.945091346606,20153,1800,16028.012241773678,19754,1800,16313.900190451226,19546.999999999996,1800,16060.888560110725,19849
neos-5114902-kasavu,1800,Inf,Inf,1800,Inf,Inf,1777.153836,Inf,Inf,1777.153836,Inf,Inf
mad,1800,1.9984014443252818e-15,0.0574,1800,2.040034807748725e-15,0.0574,1800,1.7763568394002505e-15,0.0666,1800,1.7763568394002505e-15,0.0666
rococoC10-001000,1494.26523,-1,-1,760.369097,-1,-1,793.37851,-1,-1,868.863508,-1,-1
map10,1155.609426,-1,-1,1158.479656,-1,-1,895.975249,-1,-1,895.039806,-1,-1
