Name(Seed 0),Org,,,2prob,,,Presolving Runtime
30n20b8,139.015654,-1,-1,169.384411,-1,-1,3.768224491
50v-10,1800,3254.806442,3348.479996,1800,3252.262121,3317.379991,0.01394693
academictimetablesmall,1800,Inf,Inf,1800,Inf,Inf,0.999607837
air05,40.057208,-1,-1,44.996522,-1,-1,2.644012694
assign1-5-8,1800,199.0153983,212,1800,199.8839901,212,0.009901436
atlanta-ip,1800,84.14205579,91.01005543,1800,82.91833673,93.01013811,3.240352578
b1c1s1,1800,21162.59005,25351.43,1800,21269.05658,25083.77,0.006639001
bab2,1800,Inf,Inf,1800,Inf,Inf,29.57730825
bab6,1800,Inf,Inf,1800,Inf,Inf,15.92541739
binkar10_1,54.407798,-1,-1,39.42302875,-1,-1,0.019868949
blp-ar98,1800,6175.187915,6211.714858,1800,6170.242996,6259.126459,1.608276265
blp-ic98,1800,4440.679465,4645.982648,1800,4445.896492,4543.477278,0.993118183
bnatt400,276.246939,-1,-1,249.9816501,-1,-1,0.079064426
bnatt500,1083.766909,-1,-1,1024.815036,-1,-1,0.097855184
bppc4-08,1800,52,53,1800,52,53,0.63573959
brazil3,1800,Inf,Inf,1800,Inf,Inf,5.413010954
chromaticindex1024-7,1800,3,4,1800,3,4,2.892265142
chromaticindex512-7,1800,3,4,1800,3,4,1.269844583
cmflsp50-24-8-8,1800,Inf,Inf,1800,Inf,Inf,0.103322261
co-100,1800,2.04E+06,1.07E+07,1800,1.98E+06,2.69E+06,30.55848515
comp07-2idx,1800,6,188,1800,6,162,0.255361642
comp21-2idx,1800,39.96901408,200,1800,40.22319347,178,0.149815123
cost266-UUE,1800,2.45E+07,2.51E+07,1800,2.42E+07,2.51E+07,0.036115641
cryptanalysiskb128n5obj14,1800,Inf,Inf,1800,Inf,Inf,2.898120064
cryptanalysiskb128n5obj16,1800,Inf,Inf,1800,Inf,Inf,2.921693156
csched007,1800,324.7146541,351,1800,328.4685492,353,0.173567659
csched008,495.672378,-1,-1,807.543092,-1,-1,0.123120567
cvs16r128-89,1800,-110.9224615,-96,1800,-110.9224615,-96,0.104139768
